Gene,SRR5961996,SRR5962000,SRR5962001,SRR5962005,SRR5962007,SRR5962009,SRR5962012,SRR5962013,SRR5962019
ACOT12,0.20010047,0.889806994,0.360747535,0.297566387,0.560879716,0.291895339,0.223551468,0.19357411,0.158927694
ACOT13,29.05929332,39.48700085,36.70184401,41.59312488,40.08270802,37.24660214,36.08782755,34.39171189,35.29523816
ACOT2,3.481292437,4.097443583,4.665483015,4.108939479,3.91702853,5.557682975,4.371144876,4.265152664,3.615952096
ACOT4,2.109294364,1.235737306,0.814511346,1.307979309,1.228656507,1.907049548,1.058581949,1.301880782,1.343718072
ACOT6,1.363301332,0.583539776,0.710835267,0.886963359,1.060978448,1.247816468,0.761537476,0.586149643,0.856322336
ACOT7,18.22056449,10.96741707,20.70258177,13.42256494,11.96318508,16.28877088,12.44854414,14.45615146,18.51116311
ACOT8,5.7240835,8.259649318,9.698476342,8.2905263,7.80834848,8.31131459,6.864392465,6.990100537,6.594931392
ACOT9,9.811036199,14.17161166,11.51897222,15.68136006,15.81387008,13.45735399,12.0405772,10.73133436,10.1855731
ACOX1,102.6155597,131.5750117,94.52770383,124.4157555,135.0016151,124.028191,123.1419134,116.3653898,112.2187487
ACOX2,3.151721479,2.529819696,2.199052715,3.174345459,4.400133748,3.120295381,2.742388176,2.302982089,2.152877588
ACOX3,9.49366645,4.933654925,7.32073229,7.700021019,5.623195642,7.742781956,6.18463132,7.047379365,7.16177253
ACOXL,0.740662468,0.254908425,0.568400479,0.403732888,0.455613169,0.493983517,0.670917755,0.451850288,0.605928944
ACP1,36.84552586,62.8555587,64.56580643,58.04643577,60.26958488,55.43943247,55.62098684,52.45504377,53.15852264
ACP2,8.874918647,9.551588238,8.41529399,9.238430241,8.792349194,7.849096154,9.329875639,7.509540362,8.520201922
ACP3,0.434962758,0.492340007,2.683586169,0.848959846,0.7965417,0.616874289,0.793699883,0.850903121,7.415973353
ACP5,0.421545199,0.156958058,0.116662857,0.245387982,0.261192958,0.396465761,0.297441258,0.333868339,0.438578693
ACP6,7.518271092,6.171949276,9.930479911,8.013189601,7.733235617,8.84303268,6.349704407,6.931057536,8.131576093
ACP7,1.464032031,0.172620511,0.684289881,0.79374893,0.510678669,0.657502676,0.742082722,0.815964951,0.862523729
ACRBP,0.60396303,0.170908403,0.158789734,0.353644318,0.616216559,0.308359584,0.236160803,0.590756354,0.279819917
ACRV1,0.791940865,0.46989138,0.537320132,0.565098035,0.641594593,0.826057925,0.656429837,0.499757249,0.568120636
ACSBG1,51.65122254,44.05222792,33.66216757,52.10417695,59.82807418,59.6816581,44.98024775,40.25570559,55.3808504
ACSBG2,0.600873439,0.301673432,0.468836275,0.504423284,0.395525345,0.692733914,0.34647405,0.393767413,0.526842733
ACSF2,3.450811413,2.688925672,5.259496768,5.596472865,5.455902397,6.000495211,3.953010756,4.421449776,5.004885587
ACSF3,6.349208494,3.960217013,5.422285994,4.93586608,4.428133949,4.938947231,3.431450944,4.167588758,4.577383584
ACSL1,49.55815874,54.51935369,55.63251878,62.40367919,41.87667701,50.53194542,65.13105378,67.78476063,70.65074673
ACSL3,129.4560244,213.0445554,142.7590047,189.7087549,190.365849,188.2734725,201.2035261,178.4665894,170.7214279
ACSL4,34.75794664,70.67507174,61.24140584,68.03015408,48.50612602,56.70420796,63.34870969,56.3250787,51.00779244
ACSL5,8.681827115,6.436040825,3.034847306,6.284832337,7.485607376,5.951749706,6.147445896,6.035473097,7.659452793
ACSL6,164.2951175,163.9640263,147.8907127,200.1397879,173.7094617,184.5249469,184.5444384,175.863665,185.4428115
ACSM3,0.680061868,0.148032861,0.082521742,0.374379084,0.636379861,0.689973826,0.511378591,0.531365722,0.290840301
ACSM5,4.048874992,3.345236709,2.206704635,5.768313773,4.082311365,6.261941325,3.351268775,4.113772057,3.651327609
ACSM6,2.832792791,2.105261379,1.594878271,1.545153133,3.121577138,3.944486503,1.646327603,2.303658434,4.012476256
ACSS1,30.30557053,17.64430035,18.8202326,25.92027343,26.50186074,26.47709766,17.17741701,20.77637277,22.61028801
ACSS2,16.23337966,10.65831265,9.41291264,15.10067618,9.599053948,11.02244299,14.78197517,14.05465102,17.3258388
ACSS3,22.69282021,18.32913022,13.05460182,27.61150238,34.41727403,25.32051654,24.00916075,22.32098563,25.77139878
ACTA1,0.531742679,0.58516739,1.149483644,0.826439927,0.649182349,0.603303857,0.462047332,0.266725756,0.583963896
ACTA2,8.851632,10.97429219,9.464502776,12.7118839,7.435014114,10.00088687,9.657493624,7.840603999,14.70331342
ACTA2-AS1,3.343756955,2.632314931,3.199193359,1.848312181,2.348062649,3.444330231,1.671203915,1.607891287,2.376191822
ACTB,654.0671249,419.1237218,567.4541269,543.8444747,531.0905413,551.6823832,594.9728045,612.0280858,709.2232543
ACTC1,3.037918953,1.535116069,1.688697751,2.272939333,2.248028102,2.215772864,1.466671791,0.75103586,1.702389268
ACTG1,352.5058447,429.7172856,467.672562,394.9103674,404.4654881,440.6844708,395.5138401,369.2933073,392.5246999
ACTG1P17,0.592585291,0.293455314,0.280437082,0.346982201,0.255795685,0.378188202,0.46342379,0.557334048,0.420974425
ACTG1P20,2.377161523,1.127736643,1.558790296,1.200874222,1.316954207,1.713436873,0.96075865,1.409838167,1.813994933
ACTG1P25,0.367073492,0.091653367,0.18166286,0.224769772,0.288092983,0.459346019,0.217108101,0.243696929,0.186740769
ACTG1P4,8.106179567,4.337601196,5.498646536,4.233785674,5.15162253,5.841544104,5.389590093,5.306704586,6.18098353
ACTL10,0.562160842,0.159079293,0.177359274,0.548612465,0.463265061,0.574034088,0.266918661,0.44412435,0.451451342
ACTL6A,7.565322125,12.28405037,7.985444495,13.71257152,13.08013186,9.478221971,12.45960672,12.11960991,10.79541821
ACTL6B,15.84082884,15.05876822,19.49339001,15.11910027,14.35346387,17.31741176,14.1793571,15.70550438,15.06905584
ACTN1,117.9860511,59.81835913,90.66490557,79.70086644,75.9945233,78.77457127,70.00755173,87.6125434,108.3273607
ACTN2,231.5509771,161.8058275,222.9025203,182.3277486,147.5140343,174.9032538,169.6056753,191.9495849,239.1667249
ACTN3,0.509361223,0.211967866,0.378120533,0.116961257,0.141093779,0.229464398,0.184106476,0.293072457,0.166581386
ACTN4,47.09504815,22.74474573,27.05289195,37.49387184,29.56660371,30.54919811,33.84460015,38.62520406,48.72046849
ACTR10,22.43393895,46.55734879,39.22559926,43.24403145,38.46102253,34.98659565,39.48469851,35.89463023,32.6201951
ACTR1A,53.08893491,57.25856197,61.8109037,63.61140979,47.69623667,60.58760612,56.42888145,58.47697578,66.44723105
ACTR1B,26.27124144,23.78327043,29.45297697,27.72829596,23.51249704,25.40036652,29.24411706,26.92684339,30.01247618
ACTR2,346.8115036,322.1285158,357.5033884,355.2778353,390.8560264,336.4683724,336.3872545,377.7836042,387.1397819
ACTR3,66.72784139,109.632502,88.49524746,96.99956688,105.3450141,86.51844442,100.6741113,96.04418754,90.68527222
ACTR3-AS1,2.536896166,2.265461325,2.011883118,2.259296102,2.023691017,1.981785881,1.672648844,1.736682927,1.759828849
ACTR3B,70.04732793,64.59065788,77.83885321,72.98573863,63.71335057,64.99961995,55.37472909,69.23705243,72.98512671
ACTR3C,26.11703852,21.14409817,34.9078142,22.47391811,35.14922854,32.22659872,32.32448528,25.30775458,27.22003573
ACTR5,15.78661171,16.29949065,18.21735386,16.87736345,15.06882447,16.50730458,12.42516368,12.15623184,13.19601758
ACTR6,16.92218227,26.79842605,26.1463923,25.15088479,23.55036675,22.80297942,24.56962304,23.24942954,21.50997172
ACTR8,36.17108057,42.09815235,40.28903103,46.668147,36.45578288,40.92073375,41.76030075,43.43609122,45.1521413
ACTRT3,1.175276351,1.748164565,1.838126691,2.980113458,2.317827563,2.154023922,2.171523441,1.949972722,1.582345515
ACVR1,18.74650201,11.92507691,14.3429174,17.11493397,16.53704045,16.34322912,14.96577089,20.17753812,19.84777501
ACVR1B,32.95341222,23.70201423,30.63702481,35.48054651,26.24693582,30.40828921,34.15159936,35.37469142,38.71172246
ACVR1C,141.1247812,208.9887094,174.9891625,149.4090806,155.7154044,172.6080322,197.0136277,191.5841672,177.2965163
ACVR2A,38.9581424,65.33500239,52.24161755,46.44404794,58.01618417,65.90305127,43.508495,41.91646765,36.69480567
ACVR2B,50.80075861,45.92651036,37.87952242,45.43525045,48.27530135,52.49491884,42.44785012,44.10172792,45.39545765
ACVR2B-AS1,1.554494478,0.529494974,0.938488976,0.786608318,1.129653066,1.126805872,1.463309653,0.953021712,1.227019653
ACVRL1,5.339490806,5.07850371,1.528605703,7.372325831,5.680634165,3.508633325,3.860847788,5.512885667,6.047115756
