SYMBOL,logFC,logCPM,F,PValue,FDR
FCF1P4,-54.97477904501807,1.8842704798917143,1502.3347679674619,9.186991111637957e-35,1.2309917479934802e-34
LOC122526776,-50.84063067007336,2.994740738007926,1501.8143808025966,9.252956198569977e-35,1.2395724120241703e-34
C2CD4D,-57.5393218025743,1.2602022292551753,1501.7617370695928,9.259656969081557e-35,1.240211810995246e-34
HMGB3P4,-52.60156563104134,2.3806133881245324,1500.9080855447341,9.369026337432177e-35,1.2545992179163445e-34
RPL21P57,-56.97259300418293,0.8832606678861425,1500.3376956952711,9.44285759036085e-35,1.264222744615845e-34
HSD11B2,-57.79572007836427,1.234169245630282,1499.9339375292973,9.495488130384724e-35,1.2710044765452544e-34
CXCL17,-54.7510527175489,1.5036517218423144,1497.642404712759,9.800069139949722e-35,1.3115008274869265e-34
MYBPHL,-55.699981722553254,1.5916405167740844,1497.237365496813,9.854960678505104e-35,1.318572421897324e-34
SLC15A5,-55.31636042444822,1.5975594032549252,1496.6273210534391,9.9382432308638e-35,1.329438941654124e-34
RLIMP1,-53.51008222948412,2.188763326597803,1496.0642192878051,1.0015771418328566e-34,1.33953134166544e-34
"NAPSA",-54.2387604424636,2.057030914231217,1494.8864508198044,1.017998193254512e-34,1.361210221826289e-34
FOXO6,-51.30729610247556,2.9965871433508617,1494.2634391093864,1.0267983146346673e-34,1.3726919281057385e-34
LOC100133920,-52.52799469018944,2.549033481594824,1494.2412983278257,1.0271125179604493e-34,1.3728266835735655e-34
KMT2B,-39.9959583751547,6.3929849844974145,1493.8630796978925,1.0324954557164754e-34,1.3797347874167192e-34
RAET1G,-53.14788107600581,2.1884418469660387,1492.7292705246953,1.048809951222224e-34,1.4012449462539078e-34
EEF1A1P24,-59.51743050933792,0.7750090300413707,1492.579184318813,1.0509897024088193e-34,1.403865605397827e-34
RPL7P49,-51.32808681370751,2.8476828219553214,1492.0187593658122,1.0591709556746093e-34,1.4145000535301562e-34
CYP17A1,-52.49691325495975,2.6523461837222535,1489.9234580851469,1.090354381855836e-34,1.4558426190283504e-34
SIGLEC14,-51.64258035217557,2.6746630040376336,1489.5743701983768,1.0956424270561972e-34,1.4625996541300095e-34
NXPH2,-41.42886245063964,6.35054149431246,1489.4283120592934,1.0978629038352588e-34,1.4652597635627011e-34
LTC4S,-58.94192413563358,0.5685744583578114,1488.8017879546348,1.1074413507789074e-34,1.4777370274965175e-34
ASH2LP3,-58.81998484635808,0.8749537168896262,1487.9236579096464,1.121013932046628e-34,1.4955376658763912e-34
DEFB105A,-41.97803758411701,5.712569120492754,1487.3435967841313,1.1300749322669504e-34,1.5073132986260196e-34
NFKBIL1,-38.17571979613223,6.943006945645682,1486.9711091163188,1.135933883782387e-34,1.5148139872247297e-34
HS3ST5,-57.70223701710928,0.9766040799265467,1486.6442436812902,1.1411014345942944e-34,1.5213897468901754e-34
RPL21P65,-57.064935792697426,0.9318125467184858,1485.5820388807044,1.1580649142804106e-34,1.5436866128400088e-34
OIP5,-55.50241164039647,1.6356259768221377,1485.1710537571396,1.1646990388731884e-34,1.5522081866731347e-34
SMIM22,-52.918259847901126,2.1807173709655214,1483.4137859315967,1.193516921382688e-34,1.590284663474489e-34
HNRNPA1P29,-54.69036440860374,1.8765090157879194,1483.2315704144828,1.1965475517480808e-34,1.5939926279551467e-34
NR3C1P1,-57.691997046660894,1.0968897338199104,1482.7119364539342,1.205234503827605e-34,1.6052326217645928e-34
SLC26A7,-55.2786579672699,1.6462200320075084,1482.0251408405002,1.216817415295704e-34,1.620324246035451e-34
HASPIN,-57.847138152408924,0.8547025248363251,1481.3971743376933,1.22751019464268e-34,1.6342245617004056e-34
RPL21P85,-57.1138436817471,1.0704876711062064,1481.376157864986,1.2278697522976767e-34,1.6343650148005285e-34
"NAT8",-49.52886812121224,3.0582768887542104,1480.9544578566579,1.2351077083726918e-34,1.6436590583288222e-34
HAPLN4,-41.62413181212206,6.2833968006380845,1480.03121117233,1.2511105096942569e-34,1.6646109428879328e-34
NEU1,-32.1186337538759,9.423708163161397,1479.988179218235,1.2518616653867991e-34,1.6652659415701568e-34
MEGF11,-50.684656644580386,2.8828718816354044,1479.5010284257305,1.2603982643576892e-34,1.6762749709764346e-34
OR2AJ1,-57.73219668752692,1.2320925792833526,1479.3109976132039,1.2637447808916804e-34,1.6803782917478667e-34
MTCO3P35,-55.423896644191124,1.7524215525065778,1478.998168581281,1.2692741022969207e-34,1.687381752443912e-34
LOC100419572,-56.59285121903443,1.2042126693747492,1478.27921792236,1.282077942626156e-34,1.7040511167177815e-34
ARL6IP5,-32.41604458464176,9.363942337143516,1478.0118805724933,1.2868734034177805e-34,1.710071597642343e-34
H3C10,-56.85398189431795,1.1471685615365228,1476.308398070224,1.3178747099448328e-34,1.7509062389663588e-34
IFNA13,-58.59215201043385,1.1000736903712425,1476.0153636566472,1.32328593338824e-34,1.757732481826667e-34
CD52,-52.580201354316074,2.836619372617488,1475.824252520586,1.3268275546732013e-34,1.7620730097466358e-34
DDX53,-50.50314657408393,3.0306070242887304,1475.6350055734038,1.3303444110899945e-34,1.7663788640953427e-34
RPL10AP1,-54.672873262868734,1.6993159249876826,1475.4303863729428,1.3341579213147467e-34,1.7710767453193904e-34
LOC317727,-57.29807141584792,1.1419128780818475,1474.9223513365512,1.3436758006342612e-34,1.7833435992325567e-34
SLC10A6,-56.99906018316527,1.2716448191392131,1474.6189813000997,1.3493932253881385e-34,1.7905624213947803e-34
LOC100131465,-56.44649211703214,1.496721096165755,1474.4316854586766,1.3529357863118897e-34,1.7948929497513685e-34
DEFB108B,-57.89635465729894,1.0026771135825108,1474.3299148601782,1.3548647833291351e-34,1.7970814744652221e-34
C6orf58,-57.029015551238885,1.2640481139105384,1473.8820433743558,1.3633881905180099e-34,1.8080140650592366e-34
CFAP97D2,-55.66635131043698,1.438561287531443,1472.5474840125962,1.3891206218895346e-34,1.8417586481070435e-34
HSP90AA6P,-50.91278081259578,2.9956894587973366,1470.585722280407,1.4278735511406914e-34,1.892748929422639e-34
MYH4,-56.55196746328314,1.512892642900789,1470.558414680789,1.4284209094709376e-34,1.8930844068039847e-34
RPS15AP18,-57.070016801856035,1.0226276915418344,1470.0796157681186,1.438053820863681e-34,1.905458337717005e-34
RPS10P23,-56.178068137493135,1.2338939597246967,1468.963812679098,1.460767483288878e-34,1.9351559349253196e-34
RPL34P30,-56.233940469337384,1.3827889591890075,1468.9379511484642,1.4612983620554993e-34,1.93546064712848e-34
RAB3C,-25.56809879116118,11.660520581901638,1468.9041521967624,1.4619924827026579e-34,1.9359814000053926e-34
