Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NA_Pval,OFC,OFC_Pval,SUB,SUB_Pval
COG7,0.11514786717667,0.423842176568969,0,0,-0.0351492373254264,0.789656520705292,0,0,-0.0241769800893669,0.835116780396271,-0.0244904776902035,0.856077709770933
PAK6,0.11403087739194,0.179081504761021,0,0,-0.00257939207033578,0.979293695968328,0,0,0,0,0,0
CASP7,0.113902298269829,0.550186906170744,0.147884411548771,0.480788247216603,-0.0476229411545077,0.798451539324251,0.110890335078451,0.414547092584443,0.0914222540429418,0.667615955027832,0.146641793486237,0.424276197982003
BTK,0.113486927249951,0.706651220923302,0,0,0,0,0,0,-0.0430881364978872,0.869134887753196,0.141231912300657,0.629344333207729
CRYZ,0.112706242279473,0.360595681748982,0.166528994469748,0.200734801227109,0.22524412048113,0.100100234529249,0.100702031808432,0.382629033865472,0.281430118377989,0.0274292298056205,-0.0120799613760871,0.938799650454376
EDN1,0.111890592533087,0.579962536125049,0,0,0,0,-0.00250131643124395,0.989457401271889,-0.0144673664176965,0.940007773372903,0,0
BACE2,0.111459751369635,0.509353768006646,0.245163839502272,0.286705949402746,0.243555981800742,0.199989669845532,0,0,0.169938221923088,0.3448272390211,0.0931203693620174,0.64965903673745
NFATC4,0.110698726679386,0.474619373828363,0,0,-0.0164001811441906,0.924482728793381,0,0,-0.0174221110317671,0.919703094418829,0,0
CHMP4A,0.110610021667689,0.14584431983511,0,0,0,0,-0.0104897005407243,0.877497096419489,-0.00590304995382028,0.948399383246611,0,0
POLG2,0.110500118871123,0.55126226486549,0,0,-0.0133864977579914,0.946295902961346,0,0,-0.0443263267090374,0.817544265851266,0,0
HEBP1,0.10980191412395,0.531184463297775,0,0,-0.0120462644360346,0.950111691930586,0,0,0,0,0.0729854806429806,0.644331089207071
CCND1,0.109617949450499,0.327805846871736,-0.0152636820791996,0.907849191608913,0.138119144688026,0.218159701731395,0.0465351451194672,0.632512082921042,0,0,-0.0262386020500828,0.776815961339587
FZD1,0.107084829167236,0.489265968656871,0.0688150491597698,0.716390288282068,0,0,0.0368474626338819,0.797015133846411,-0.0390648677361737,0.820581601138193,0,0
TBX2,0.106331396517788,0.788390173182751,0,0,0.181579907142067,0.657895705190535,0.293444034719075,0.429079585486645,0,0,0.15633389408154,0.664269205715087
DSG2,0.106315060463366,0.782561011738057,0.230228055147012,0.553883318879498,0,0,0.102892905638184,0.737942587190457,-0.00139818456692889,0.99763451207483,0,0
IKZF1,0.105944503213897,0.641848287583141,0.219441864197812,0.370986552205093,0.190516432840098,0.405929543201702,0.0937273039220382,0.565249417235052,0.227505491156665,0.309033702385008,0.252944661331364,0.215274709967027
MSRA,0.105606325863304,0.171472851858016,0,0,-0.0314246459344873,0.64542794107816,-0.0361999787534528,0.723796437255604,-0.0433287117503814,0.494667496327543,0,0
KIAA0753,0.104419808680449,0.205663554414194,0,0,0,0,0,0,-0.0456154251214202,0.48397859656318,0,0
ICAM3,0.103418375229694,0.761936912222575,0.259991371312267,0.539544860918601,0.171276768892962,0.61562447281615,0,0,0.157965100348528,0.652569291167934,0.0511952810386161,0.887107790207313
CAT,0.102450831951247,0.357897823616053,0,0,0,0,0.133283466423221,0.141346086507539,0.127092098673669,0.273064063881191,0.140110595376933,0.154528120747673
PRR7,0.0999813072006001,0.50977394397305,-0.00229195706056463,0.988188322143035,0,0,-0.0328376287434409,0.819960180381851,0,0,0,0
MOK,0.099047109720621,0.312894125153413,0,0,-0.0540525342722118,0.598825867588838,0,0,0,0,0,0
PRKCD,0.0986815861015454,0.474694012835642,0,0,-0.0361183123256827,0.823685354237564,0,0,0,0,-0.0255444001987324,0.863211875619821
PPP1R13B,0.0969829885787074,0.201096099682952,0,0,-0.00642612633938327,0.923855102317782,0,0,0,0,0,0
TBC1D31,0.0964388620755706,0.156452228030555,0,0,0.0632501739370494,0.379204693766891,0.0368134272142674,0.483715827966212,0.0711469930435459,0.307396014568378,0,0
ADI1,0.0959915143295891,0.575095242137261,-0.00721044300911783,0.96462787280815,0,0,-0.00444667448862618,0.973764241458624,0,0,0,0
SYK,0.0947543332060088,0.587832426232959,0.0948201113147503,0.703949821002484,0.120617966427515,0.476003482749148,0.0424943391673116,0.769842003880997,0.075221562797385,0.668128264858719,0.293675460883019,0.111463112020013
CDKN2A,0.0923887300420261,0.84535021433167,0.128163848299392,0.837919746479062,-0.0332510841810649,0.944844896512779,0.0736857139841083,0.874166206965953,0,0,-0.0285454170304219,0.954456758160077
EPHA3,0.0923493906384662,0.281523078329107,0.273835499983266,0.24036402854537,-0.00905945813651501,0.910605267516223,0.039142161492522,0.757079165956332,0.0882358831126538,0.36354693614352,0.129699250133504,0.358641110201489
